username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,219000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,179000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,62000,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,55100,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,54100,https://github.com/youngyangyang04/leetcode-master
WerWolv,ImHex,47200,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,40300,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,39200,https://github.com/ClickHouse/ClickHouse
huihut,interview,35500,https://github.com/huihut/interview
doocs,leetcode,33100,https://github.com/doocs/leetcode
carbon-language,carbon-lang,32600,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,31900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,31300,https://github.com/TheAlgorithms/C-Plus-Plus
aseprite,aseprite,30900,https://github.com/aseprite/aseprite
microsoft,calculator,30100,https://github.com/microsoft/calculator
dragonflydb,dragonfly,27200,https://github.com/dragonflydb/dragonfly
gabime,spdlog,25400,https://github.com/gabime/spdlog
changkun,modern-cpp-tutorial,24500,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,24100,https://github.com/microsoft/vcpkg
ethereum,solidity,23900,https://github.com/ethereum/solidity
