username,repo_name,stars,repo_url
crystal-lang,crystal,19600,https://github.com/crystal-lang/crystal
kemalcr,kemal,3700,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3400,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2600,https://github.com/luckyframework/lucky
amberframework,amber,2600,https://github.com/amberframework/amber
vitobotta,hetzner-k3s,2200,https://github.com/vitobotta/hetzner-k3s
getmango,Mango,1700,https://github.com/getmango/Mango
ffwff,lilith,1200,https://github.com/ffwff/lilith
drujensen,fib,884,https://github.com/drujensen/fib
hanabi1224,Programming-Language-Benchmarks,698,https://github.com/hanabi1224/Programming-Language-Benchmarks
owasp-noir,noir,656,https://github.com/owasp-noir/noir
amethyst-framework,amethyst,645,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,552,https://github.com/askn/crystal-by-example
crystal-ameba,ameba,525,https://github.com/crystal-ameba/ameba
crystal-community,icr,504,https://github.com/crystal-community/icr
will,crystal-pg,463,https://github.com/will/crystal-pg
elbywan,crystalline,456,https://github.com/elbywan/crystalline
martenframework,marten,430,https://github.com/martenframework/marten
imdrasil,jennifer.cr,421,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,419,https://github.com/vim-crystal/vim-crystal
