username,repo_name,stars,repo_url
metabase,metabase,40900,https://github.com/metabase/metabase
penpot,penpot,36600,https://github.com/penpot/penpot
logseq,logseq,35000,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,13800,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,10200,https://github.com/kanaka/mal
lk-geimfari,awesomo,9500,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5500,https://github.com/tonsky/datascript
reagent-project,reagent,4800,https://github.com/reagent-project/reagent
defold,defold,4700,https://github.com/defold/defold
izhangzhihao,intellij-rainbow-brackets,4500,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200,https://github.com/riemann/riemann
babashka,babashka,4200,https://github.com/babashka/babashka
weavejester,compojure,4100,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3900,https://github.com/status-im/status-mobile
ring-clojure,ring,3800,https://github.com/ring-clojure/ring
clojure-emacs,cider,3600,https://github.com/clojure-emacs/cider
viebel,klipse,3100,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3100,https://github.com/tallesl/Rich-Hickey-fanclub
