username,repo_name,stars,repo_url
babel,babel,43400,https://github.com/babel/babel
swc-project,swc,31700,https://github.com/swc-project/swc
nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,23500,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,15500,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15200,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,12100,https://github.com/jamiebuilds/babel-handbook
developit,htm,8800,https://github.com/developit/htm
grommet,grommet,8400,https://github.com/grommet/grommet
ast-grep,ast-grep,8100,https://github.com/ast-grep/ast-grep
ben-rogerson,twin.macro,8000,https://github.com/ben-rogerson/twin.macro
fkling,astexplorer,6300,https://github.com/fkling/astexplorer
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5800,https://github.com/documentationjs/documentation
thx,gogocode,5800,https://github.com/thx/gogocode
insin,nwb,5600,https://github.com/insin/nwb
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5200,https://github.com/egoist/poi
duxianwei520,react,5100,https://github.com/duxianwei520/react
babel,babel-loader,4800,https://github.com/babel/babel-loader
