username,repo_name,stars,repo_url
public-apis,public-apis,328000,https://github.com/public-apis/public-apis
neovim,neovim,86400,https://github.com/neovim/neovim
fastapi,fastapi,81200,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,68400,https://github.com/hoppscotch/hoppscotch
strapi,strapi,65200,https://github.com/strapi/strapi
ocornut,imgui,63300,https://github.com/ocornut/imgui
meilisearch,meilisearch,49400,https://github.com/meilisearch/meilisearch
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
trpc,trpc,36100,https://github.com/trpc/trpc
slatedocs,slate,36100,https://github.com/slatedocs/slate
Kong,insomnia,35700,https://github.com/Kong/insomnia
httpie,cli,34900,https://github.com/httpie/cli
ccxt,ccxt,34700,https://github.com/ccxt/ccxt
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
mudler,LocalAI,30600,https://github.com/mudler/LocalAI
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
directus,directus,29100,https://github.com/directus/directus
encode,django-rest-framework,28800,https://github.com/encode/django-rest-framework
YMFE,yapi,27500,https://github.com/YMFE/yapi
littlecodersh,ItChat,26000,https://github.com/littlecodersh/ItChat
